culture,years,event_name,dominant_gender,group
Africa,1700-1729,Dutch Cape Colony Expansion,male,Dutch Settlers
Africa,1700-1729,Establishment of the Kingdom of Dagbon,male,Dagomba Warriors
Africa,1700-1729,Reign of Queen Ndiaye Salifou of Waalo,female,Women's council members
Africa,1700-1729,Establishment of Dahomey Amazons,female,Dahomey Amazons
Africa,1730-1759,Foundation of the Ashanti Empire,male,Ashanti Nobility
Africa,1730-1759,First Anglo-Moroccan War,male,Diplomats
Africa,1730-1759,Masina Women’s Participation in the Slave Resistance,female,Colonial plantation owners
Africa,1730-1759,Formation of Women's Trade Coalitions,female,Coastal traders
Africa,1760-1789,Aro-Chukwu Slave Wars,male,Igbo Communities
Africa,1760-1789,Dutch-Portuguese Conflicts in West Africa,male,Dutch Expeditionary Forces
Africa,1760-1789,Role of Women During the Expansion of the Zulu Kingdom,female,Village Organizers
Africa,1760-1789,Nubian Women's Involvement in Political Structures,female,Advisors
Africa,1790-1819,Egyptian-Ottoman Conflict in Sudan,male,Sudanese Tribesmen
Africa,1790-1819,Battle of Grahamstown,male,British Army
Africa,1790-1819,Sofala Women's Trade Network Expansion,female,Female Traders
Africa,1790-1819,Women’s Role in the Xhosa Cattle-Killing Movement,female,Female Activists
Africa,1820-1849,Founding of Liberia,male,American Colonization Society representatives
Africa,1820-1849,Yoruba Wars,male,Yoruba city-state warriors
Africa,1820-1849,Abolitionist Movement for African Women in Zanzibar,female,Female Freed Slaves
Africa,1820-1849,Resettlement of Freed African Women in Liberia,female,Female Administrators
Africa,1850-1879,Ashanti Wars against British Empire,male,Fante Confederacy Supporters
Africa,1850-1879,Exploration of the Congo River Basin,male,Porters and Bearers
Africa,1850-1879,Formation of South African Women's Agricultural Community,female,Female Farmers
Africa,1850-1879,Formation of South African Women's Agricultural Community,female,Community Leaders
Africa,1880-1909,Anglo-Zulu War,male,Zulu Warriors
Africa,1880-1909,Ashanti-British 'War of the Golden Stool',male,British Soldiers
Africa,1880-1909,Bitter Water Inheritance Protests,female,Zulu women protesters
Africa,1880-1909,Emergence of Female Chiefs in Central African Kingdoms,female,Sankuru female chiefs
Africa,1910-1939,The establishment of the West African Students' Union (WASU),male,West African students
Africa,1910-1939,The First Pan-African Congress in Paris (1919),male,Anti-colonial activists
Africa,1910-1939,Formation of the Ibo Women's Union,female,Ibo Community Leaders
Africa,1910-1939,Sudanese Women's Literacy Movement,female,Community Support Groups
Africa,1940-1969,Ghana's Independence,male,Pan-African activists
Africa,1940-1969,Sharpeville Massacre,male,Anti-apartheid protesters
Africa,1940-1969,Northern Rhodesia Women's Protest (Zambia),female,Federation of African Women's Welfare Societies
