culture,years,event_name,dominant_race,group
Africa,1700-1729,Dutch Establishment of Cape Town as a Colony,White,Dutch Farmers (Boers)
Africa,1700-1729,British Takeover of St. Helena,White,British Navy
Africa,1700-1729,Dahomey Raids for Slaves,Black,Dahomey Soldiers
Africa,1700-1729,Rise of the Fulani Jihads,Black,Fulani Leaders
Africa,1700-1729,Indian Slave Trade in Madagascar,Indian,Madagascan Slaves
Africa,1700-1729,Integration of Indian Medical Practices in African Communities,Indian,African Patients
Africa,1700-1729,Introduction of Rice Cultivation in Zanzibar,Southeast Asian,Zanzibar Locals
Africa,1700-1729,Batavian Settlers in Southern Africa,Southeast Asian,Dutch Colonists
Africa,1700-1729,Establishment of Omani Sultanate in Mombasa,Middle Eastern,Mombasa Citizens
Africa,1700-1729,Introduction of Islam in Comoros,Middle Eastern,Arab Missionaries
Africa,1700-1729,Expansion of Sugar Plantations in Cuba,Latino,African Slaves
Africa,1700-1729,Expansion of Sugar Plantations in Cuba,Latino,Spanish Landowners
Africa,1730-1759,Battle of Muizenberg,White,British Navy
Africa,1730-1759,Founding of the Republic of Graaff-Reinet,White,Dutch Colonial Leaders
Africa,1730-1759,Expansion of Dahomey Kingdom,Black,Amazons (Female Warriors)
Africa,1730-1759,Founding of the Fante Confederacy,Black,Coastal Traders
Africa,1730-1759,Indian Cultural Influences in Mombasa,Indian,Indian Cultural Advisors
Africa,1730-1759,Indian Cultural Influences in Mombasa,Indian,Portuguese Colonists
Africa,1730-1759,Expansion of Islam in Cape Town,Southeast Asian,Muslim Converts
Africa,1730-1759,Linguistic Exchange in Cape Town,Southeast Asian,Cape Malay Linguists
Africa,1730-1759,Rise of the Zaydi Dynasty in Yemen,Middle Eastern,Zaydi Imams
Africa,1730-1759,Rise of the Zaydi Dynasty in Yemen,Middle Eastern,Ottoman Officials
Africa,1760-1789,First British Occupation of the Cape,White,Dutch Boers
Africa,1760-1789,Establishment of the British East India Company Forts,White,Company Officials
Africa,1760-1789,Oyo Empire's Expansion,Black,Oyo Mesi Council
Africa,1760-1789,Founding of Freetown by Freed Slaves,Black,African Tribal Chiefs
