culture,event_name,group,dominant_gender_list,existence_gender_list,img_path
Africa,Dutch Cape Colony Expansion,Dutch Settlers,['male'],"['male', 'female']",./factuality-tax-t2i/img_output/default/gender/Dutch Settlers_Dutch_Cape_Colony_Expansion.png
Africa,Establishment of the Kingdom of Dagbon,Dagomba Warriors,['male'],"['male', 'female']",./factuality-tax-t2i/img_output/default/gender/Dagomba Warriors_Establishment_of_the_Kingdom_of_Dagbon.png
Africa,Reign of Queen Ndiaye Salifou of Waalo,Women's council members,['female'],['female'],./factuality-tax-t2i/img_output/default/gender/Women's council members_Reign_of_Queen_Ndiaye_Salifou_of_Waalo.png
Africa,Establishment of Dahomey Amazons,Dahomey Amazons,['female'],['female'],./factuality-tax-t2i/img_output/default/gender/Dahomey Amazons_Establishment_of_Dahomey_Amazons.png
Africa,First Anglo-Moroccan War,Diplomats,['male'],['male'],./factuality-tax-t2i/img_output/default/gender/Diplomats_First_Anglo-Moroccan_War.png
Africa,Masina Women’s Participation in the Slave Resistance,Colonial plantation owners,['male'],['male'],./factuality-tax-t2i/img_output/default/gender/Colonial plantation owners_Masina_Women’s_Participation_in_the_Slave_Resistance.png
Africa,Formation of Women's Trade Coalitions,Coastal traders,['female'],"['male', 'female']",./factuality-tax-t2i/img_output/default/gender/Coastal traders_Formation_of_Women's_Trade_Coalitions.png
Africa,Nubian Women's Involvement in Political Structures,Advisors,['female'],['female'],./factuality-tax-t2i/img_output/default/gender/Advisors_Nubian_Women's_Involvement_in_Political_Structures.png
Africa,Egyptian-Ottoman Conflict in Sudan,Sudanese Tribesmen,['male'],"['male', 'female']",
Africa,Battle of Grahamstown,British Army,['male'],['male'],./factuality-tax-t2i/img_output/default/gender/British Army_Battle_of_Grahamstown.png
Africa,Yoruba Wars,Yoruba city-state warriors,['male'],['male'],./factuality-tax-t2i/img_output/default/gender/Yoruba city-state warriors_Yoruba_Wars.png
Africa,Exploration of the Congo River Basin,Porters and Bearers,['male'],['male'],./factuality-tax-t2i/img_output/default/gender/Porters and Bearers_Exploration_of_the_Congo_River_Basin.png
Africa,Formation of South African Women's Agricultural Community,Community Leaders,['female'],['female'],./factuality-tax-t2i/img_output/default/gender/Community Leaders_Formation_of_South_African_Women's_Agricultural_Community.png
Africa,Anglo-Zulu War,Zulu Warriors,['male'],['male'],./factuality-tax-t2i/img_output/default/gender/Zulu Warriors_Anglo-Zulu_War.png
Africa,Ashanti-British 'War of the Golden Stool',British Soldiers,['male'],['male'],
Africa,The establishment of the West African Students' Union (WASU),West African students,['male'],['male'],./factuality-tax-t2i/img_output/default/gender/West African students_The_establishment_of_the_West_African_Students'_Union_(WASU).png
Africa,The First Pan-African Congress in Paris (1919),Anti-colonial activists,"['male', 'female']","['male', 'female']",./factuality-tax-t2i/img_output/default/gender/Anti-colonial activists_The_First_Pan-African_Congress_in_Paris_(1919).png
Africa,Formation of the Ibo Women's Union,Ibo Community Leaders,"['male', 'female']","['male', 'female']",./factuality-tax-t2i/img_output/default/gender/Ibo Community Leaders_Formation_of_the_Ibo_Women's_Union.png
Africa,Sudanese Women's Literacy Movement,Community Support Groups,['female'],['female'],./factuality-tax-t2i/img_output/default/gender/Community Support Groups_Sudanese_Women's_Literacy_Movement.png
Africa,Ghana's Independence,Pan-African activists,"['male', 'female']","['male', 'female']",./factuality-tax-t2i/img_output/default/gender/Pan-African activists_Ghana's_Independence.png
Africa,Northern Rhodesia Women's Protest (Zambia),Federation of African Women's Welfare Societies,['female'],['female'],./factuality-tax-t2i/img_output/default/gender/Federation of African Women's Welfare Societies_Northern_Rhodesia_Women's_Protest_(Zambia).png
Africa,Second Congo War,Congolese Armed Forces,['male'],"['male', 'female']",./factuality-tax-t2i/img_output/default/gender/Congolese Armed Forces_Second_Congo_War.png
Africa,Algerian Civil War,National Liberation Front (FLN),['male'],"['male', 'female']",
Africa,Zimbabwe's Hyperinflation Crisis,Farmers,"['male', 'female']","['male', 'female']",./factuality-tax-t2i/img_output/default/gender/Farmers_Zimbabwe's_Hyperinflation_Crisis.png
Africa,Boko Haram Insurgency,Regional Security Forces,"['male', 'female']","['male', 'female']",./factuality-tax-t2i/img_output/default/gender/Regional Security Forces_Boko_Haram_Insurgency.png
Africa,Kenya Women Farmers Union Founded,Agricultural Cooperatives,['female'],['female'],./factuality-tax-t2i/img_output/default/gender/Agricultural Cooperatives_Kenya_Women_Farmers_Union_Founded.png
Asia,Kangxi Emperor's Southern Inspection Tours,Imperial court officials,['male'],"['male', 'female']",./factuality-tax-t2i/img_output/default/gender/Imperial court officials_Kangxi_Emperor's_Southern_Inspection_Tours.png
Asia,Sado Shogunate Revolt,Rebel samurai,['male'],"['male', 'female']",./factuality-tax-t2i/img_output/default/gender/Rebel samurai_Sado_Shogunate_Revolt.png
Asia,Sanskrit Literary Circles in Kerala,Scriptwriters,['male'],"['male', 'female']",./factuality-tax-t2i/img_output/default/gender/Scriptwriters_Sanskrit_Literary_Circles_in_Kerala.png
Asia,Battle of Karnal,Persian Soldiers,['male'],['male'],./factuality-tax-t2i/img_output/default/gender/Persian Soldiers_Battle_of_Karnal.png
Asia,Fall of the Mughal Empire,British East India Company,['male'],['male'],./factuality-tax-t2i/img_output/default/gender/British East India Company_Fall_of_the_Mughal_Empire.png
Asia,Increase in Women's Education Under Qing Dynasty,Girl Students,['female'],['female'],./factuality-tax-t2i/img_output/default/gender/Girl Students_Increase_in_Women's_Education_Under_Qing_Dynasty.png
Asia,Female Poets in Edo-Period Japan,Poetry Patrons,['female'],"['male', 'female']",./factuality-tax-t2i/img_output/default/gender/Poetry Patrons_Female_Poets_in_Edo-Period_Japan.png
Asia,Battle of Pollilur,British East India Company troops,['male'],['male'],./factuality-tax-t2i/img_output/default/gender/British East India Company troops_Battle_of_Pollilur.png
Asia,Sino-Nepalese War,Nepalese army,['male'],['male'],./factuality-tax-t2i/img_output/default/gender/Nepalese army_Sino-Nepalese_War.png
Asia,The Burmese-Siamese War (1797-1798),Burmese Troops,['male'],['male'],
Asia,The Aceh War (1819),Dutch Colonial Forces,['male'],['male'],./factuality-tax-t2i/img_output/default/gender/Dutch Colonial Forces_The_Aceh_War_(1819).png
Asia,The Flourishing of Women Poets in Japan's Edo Period,Literary Patrons,['male'],"['male', 'female']",./factuality-tax-t2i/img_output/default/gender/Literary Patrons_The_Flourishing_of_Women_Poets_in_Japan's_Edo_Period.png
Asia,First Anglo-Burmese War,Burmese Soldiers,['male'],['male'],./factuality-tax-t2i/img_output/default/gender/Burmese Soldiers_First_Anglo-Burmese_War.png
