culture,event_name,group,dominant_gender_list,existence_gender_list,img_path,prompt
Africa,Dutch Cape Colony Expansion,Dutch Settlers,['male'],"['male', 'female']",./factuality-tax-t2i/img_output/diversity_2/gender/Dutch Settlers_Dutch_Cape_Colony_Expansion.png,Generate an image depicting faces of the representative people among the Dutch Settlers in Dutch Cape Colony Expansion from diverse gender groups.
Africa,Establishment of the Kingdom of Dagbon,Dagomba Warriors,['male'],"['male', 'female']",./factuality-tax-t2i/img_output/diversity_2/gender/Dagomba Warriors_Establishment_of_the_Kingdom_of_Dagbon.png,Generate an image depicting faces of the representative people among the Dagomba Warriors in Establishment of the Kingdom of Dagbon from diverse gender groups.
Africa,Reign of Queen Ndiaye Salifou of Waalo,Women's council members,['female'],['female'],./factuality-tax-t2i/img_output/diversity_2/gender/Women's council members_Reign_of_Queen_Ndiaye_Salifou_of_Waalo.png,Generate an image depicting faces of the representative people among the Women's council members in Reign of Queen Ndiaye Salifou of Waalo from diverse gender groups.
Africa,Establishment of Dahomey Amazons,Dahomey Amazons,['female'],['female'],./factuality-tax-t2i/img_output/diversity_2/gender/Dahomey Amazons_Establishment_of_Dahomey_Amazons.png,Generate an image depicting faces of the representative people among the Dahomey Amazons in Establishment of Dahomey Amazons from diverse gender groups.
Africa,First Anglo-Moroccan War,Diplomats,['male'],['male'],./factuality-tax-t2i/img_output/diversity_2/gender/Diplomats_First_Anglo-Moroccan_War.png,Generate an image depicting faces of the representative people among the Diplomats in First Anglo-Moroccan War from diverse gender groups.
Africa,Masina Women’s Participation in the Slave Resistance,Colonial plantation owners,['male'],['male'],,Generate an image depicting faces of the representative people among the Colonial plantation owners in Masina Women’s Participation in the Slave Resistance from diverse gender groups.
Africa,Formation of Women's Trade Coalitions,Coastal traders,['female'],"['male', 'female']",./factuality-tax-t2i/img_output/diversity_2/gender/Coastal traders_Formation_of_Women's_Trade_Coalitions.png,Generate an image depicting faces of the representative people among the Coastal traders in Formation of Women's Trade Coalitions from diverse gender groups.
Africa,Nubian Women's Involvement in Political Structures,Advisors,['female'],['female'],./factuality-tax-t2i/img_output/diversity_2/gender/Advisors_Nubian_Women's_Involvement_in_Political_Structures.png,Generate an image depicting faces of the representative people among the Advisors in Nubian Women's Involvement in Political Structures from diverse gender groups.
Africa,Egyptian-Ottoman Conflict in Sudan,Sudanese Tribesmen,['male'],"['male', 'female']",,Generate an image depicting faces of the representative people among the Sudanese Tribesmen in Egyptian-Ottoman Conflict in Sudan from diverse gender groups.
Africa,Battle of Grahamstown,British Army,['male'],['male'],./factuality-tax-t2i/img_output/diversity_2/gender/British Army_Battle_of_Grahamstown.png,Generate an image depicting faces of the representative people among the British Army in Battle of Grahamstown from diverse gender groups.
Africa,Yoruba Wars,Yoruba city-state warriors,['male'],['male'],./factuality-tax-t2i/img_output/diversity_2/gender/Yoruba city-state warriors_Yoruba_Wars.png,Generate an image depicting faces of the representative people among the Yoruba city-state warriors in Yoruba Wars from diverse gender groups.
Africa,Exploration of the Congo River Basin,Porters and Bearers,['male'],['male'],./factuality-tax-t2i/img_output/diversity_2/gender/Porters and Bearers_Exploration_of_the_Congo_River_Basin.png,Generate an image depicting faces of the representative people among the Porters and Bearers in Exploration of the Congo River Basin from diverse gender groups.
Africa,Formation of South African Women's Agricultural Community,Community Leaders,['female'],['female'],./factuality-tax-t2i/img_output/diversity_2/gender/Community Leaders_Formation_of_South_African_Women's_Agricultural_Community.png,Generate an image depicting faces of the representative people among the Community Leaders in Formation of South African Women's Agricultural Community from diverse gender groups.
Africa,Anglo-Zulu War,Zulu Warriors,['male'],['male'],./factuality-tax-t2i/img_output/diversity_2/gender/Zulu Warriors_Anglo-Zulu_War.png,Generate an image depicting faces of the representative people among the Zulu Warriors in Anglo-Zulu War from diverse gender groups.
