culture,event_name,group,dominant_race_list,existence_race_list,img_path
Africa,Dutch Establishment of Cape Town as a Colony,Dutch Farmers (Boers),['White'],['White'],./factuality-tax-t2i/img_output/default/race/Dutch Farmers (Boers)_Dutch_Establishment_of_Cape_Town_as_a_Colony.png
Africa,British Takeover of St. Helena,British Navy,['White'],"['Indian', 'Black', 'East Asian', 'White']",./factuality-tax-t2i/img_output/default/race/British Navy_British_Takeover_of_St_Helena.png
Africa,Dahomey Raids for Slaves,Dahomey Soldiers,['Black'],['Black'],./factuality-tax-t2i/img_output/default/race/Dahomey Soldiers_Dahomey_Raids_for_Slaves.png
Africa,Rise of the Fulani Jihads,Fulani Leaders,['Black'],['Black'],./factuality-tax-t2i/img_output/default/race/Fulani Leaders_Rise_of_the_Fulani_Jihads.png
Africa,Indian Slave Trade in Madagascar,Madagascan Slaves,['Black'],"['Black', 'Southeast Asian']",
Africa,Integration of Indian Medical Practices in African Communities,African Patients,['Black'],['Black'],./factuality-tax-t2i/img_output/default/race/African Patients_Integration_of_Indian_Medical_Practices_in_African_Communities.png
Africa,Introduction of Rice Cultivation in Zanzibar,Zanzibar Locals,['Black'],"['Indian', 'Black', 'Middle Eastern']",./factuality-tax-t2i/img_output/default/race/Zanzibar Locals_Introduction_of_Rice_Cultivation_in_Zanzibar.png
Africa,Introduction of Islam in Comoros,Arab Missionaries,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/default/race/Arab Missionaries_Introduction_of_Islam_in_Comoros.png
Africa,Expansion of Sugar Plantations in Cuba,African Slaves,['Black'],['Black'],./factuality-tax-t2i/img_output/default/race/African Slaves_Expansion_of_Sugar_Plantations_in_Cuba.png
Africa,Battle of Muizenberg,British Navy,['White'],['White'],./factuality-tax-t2i/img_output/default/race/British Navy_Battle_of_Muizenberg.png
Africa,Founding of the Republic of Graaff-Reinet,Dutch Colonial Leaders,['White'],['White'],./factuality-tax-t2i/img_output/default/race/Dutch Colonial Leaders_Founding_of_the_Republic_of_Graaff-Reinet.png
Africa,Founding of the Fante Confederacy,Coastal Traders,['Black'],"['Black', 'White']",./factuality-tax-t2i/img_output/default/race/Coastal Traders_Founding_of_the_Fante_Confederacy.png
Africa,Expansion of Islam in Cape Town,Muslim Converts,['Black'],"['Indian', 'Black', 'Southeast Asian']",./factuality-tax-t2i/img_output/default/race/Muslim Converts_Expansion_of_Islam_in_Cape_Town.png
Africa,Rise of the Zaydi Dynasty in Yemen,Ottoman Officials,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/default/race/Ottoman Officials_Rise_of_the_Zaydi_Dynasty_in_Yemen.png
Africa,First British Occupation of the Cape,Dutch Boers,['White'],['White'],./factuality-tax-t2i/img_output/default/race/Dutch Boers_First_British_Occupation_of_the_Cape.png
Africa,Oyo Empire's Expansion,Oyo Mesi Council,['Black'],['Black'],./factuality-tax-t2i/img_output/default/race/Oyo Mesi Council_Oyo_Empire's_Expansion.png
Africa,Indian Labor in Cape Colony Agriculture,Dutch settlers,['White'],"['Black', 'White']",./factuality-tax-t2i/img_output/default/race/Dutch settlers_Indian_Labor_in_Cape_Colony_Agriculture.png
Africa,Founding of the Tijaniyya Sufi Order,Sufi scholars,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/default/race/Sufi scholars_Founding_of_the_Tijaniyya_Sufi_Order.png
Africa,Portuguese-Omani Conflicts on the East African Coast,Portuguese soldiers,['White'],"['Indian', 'Black', 'White']",./factuality-tax-t2i/img_output/default/race/Portuguese soldiers_Portuguese-Omani_Conflicts_on_the_East_African_Coast.png
Africa,Anglo-Maratha Wars Impact in Africa,Local Allied Forces,['Black'],"['Indian', 'Black']",./factuality-tax-t2i/img_output/default/race/Local Allied Forces_Anglo-Maratha_Wars_Impact_in_Africa.png
Africa,Anglo-Asante Wars,British forces,['White'],"['Black', 'White']",./factuality-tax-t2i/img_output/default/race/British forces_Anglo-Asante_Wars.png
Africa,Second Xhosa–European War,Dutch settlers,['White'],['White'],./factuality-tax-t2i/img_output/default/race/Dutch settlers_Second_Xhosa–European_War.png
Africa,Indian Ocean Slave Trade,Swahili-speaking Coastal Communities,['Black'],"['Indian', 'Black', 'Middle Eastern']",./factuality-tax-t2i/img_output/default/race/Swahili-speaking Coastal Communities_Indian_Ocean_Slave_Trade.png
Africa,Collaboration in the Ivory Trade,Indian Ivory Traders,['Indian'],['Indian'],./factuality-tax-t2i/img_output/default/race/Indian Ivory Traders_Collaboration_in_the_Ivory_Trade.png
Africa,Intercultural Marriages between Chinese Immigrants and Africans,African Families,['Black'],"['Black', 'East Asian']",./factuality-tax-t2i/img_output/default/race/African Families_Intercultural_Marriages_between_Chinese_Immigrants_and_Africans.png
Africa,Introduction of Chinese Agricultural Techniques in Kenya,Chinese Immigration Officials,['East Asian'],['East Asian'],./factuality-tax-t2i/img_output/default/race/Chinese Immigration Officials_Introduction_of_Chinese_Agricultural_Techniques_in_Kenya.png
Africa,Establishment of Javanese Settlements in South Africa,Local Khoisan Peoples,['Black'],['Black'],./factuality-tax-t2i/img_output/default/race/Local Khoisan Peoples_Establishment_of_Javanese_Settlements_in_South_Africa.png
Africa,Summit of Arab and Southeast Asian Traders in Swahili Coast,Arab Navigators,['Middle Eastern'],"['Southeast Asian', 'Middle Eastern']",./factuality-tax-t2i/img_output/default/race/Arab Navigators_Summit_of_Arab_and_Southeast_Asian_Traders_in_Swahili_Coast.png
