culture,event_name,group,dominant_race_list,existence_race_list,img_path,prompt
Africa,Dutch Establishment of Cape Town as a Colony,Dutch Farmers (Boers),['White'],['White'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Dutch Farmers (Boers)_Dutch_Establishment_of_Cape_Town_as_a_Colony.png,
Africa,British Takeover of St. Helena,British Navy,['White'],"['Indian', 'Black', 'East Asian', 'White']",./factuality-tax-t2i/img_output/diversity2_fai_vk/race/British Navy_British_Takeover_of_St_Helena.png,
Africa,Dahomey Raids for Slaves,Dahomey Soldiers,['Black'],['Black'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Dahomey Soldiers_Dahomey_Raids_for_Slaves.png,
Africa,Rise of the Fulani Jihads,Fulani Leaders,['Black'],['Black'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Fulani Leaders_Rise_of_the_Fulani_Jihads.png,
Africa,Indian Slave Trade in Madagascar,Madagascan Slaves,['Black'],"['Black', 'Southeast Asian']",,
Africa,Integration of Indian Medical Practices in African Communities,African Patients,['Black'],['Black'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/African Patients_Integration_of_Indian_Medical_Practices_in_African_Communities.png,
Africa,Introduction of Rice Cultivation in Zanzibar,Zanzibar Locals,['Black'],"['Indian', 'Black', 'Middle Eastern']",./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Zanzibar Locals_Introduction_of_Rice_Cultivation_in_Zanzibar.png,
Africa,Introduction of Islam in Comoros,Arab Missionaries,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Arab Missionaries_Introduction_of_Islam_in_Comoros.png,
Africa,Expansion of Sugar Plantations in Cuba,African Slaves,['Black'],['Black'],,
Africa,Battle of Muizenberg,British Navy,['White'],['White'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/British Navy_Battle_of_Muizenberg.png,
Africa,Founding of the Republic of Graaff-Reinet,Dutch Colonial Leaders,['White'],['White'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Dutch Colonial Leaders_Founding_of_the_Republic_of_Graaff-Reinet.png,
Africa,Founding of the Fante Confederacy,Coastal Traders,['Black'],"['Black', 'White']",,
Africa,Expansion of Islam in Cape Town,Muslim Converts,['Black'],"['Indian', 'Black', 'Southeast Asian']",./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Muslim Converts_Expansion_of_Islam_in_Cape_Town.png,
Africa,Rise of the Zaydi Dynasty in Yemen,Ottoman Officials,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Ottoman Officials_Rise_of_the_Zaydi_Dynasty_in_Yemen.png,
Africa,First British Occupation of the Cape,Dutch Boers,['White'],['White'],,
Africa,Oyo Empire's Expansion,Oyo Mesi Council,['Black'],['Black'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Oyo Mesi Council_Oyo_Empire's_Expansion.png,
Africa,Indian Labor in Cape Colony Agriculture,Dutch settlers,['White'],"['Black', 'White']",./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Dutch settlers_Indian_Labor_in_Cape_Colony_Agriculture.png,
Africa,Founding of the Tijaniyya Sufi Order,Sufi scholars,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Sufi scholars_Founding_of_the_Tijaniyya_Sufi_Order.png,
Africa,Portuguese-Omani Conflicts on the East African Coast,Portuguese soldiers,['White'],"['Indian', 'Black', 'White']",,
Africa,Anglo-Maratha Wars Impact in Africa,Local Allied Forces,['Black'],"['Indian', 'Black']",./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Local Allied Forces_Anglo-Maratha_Wars_Impact_in_Africa.png,
Africa,Anglo-Asante Wars,British forces,['White'],"['Black', 'White']",./factuality-tax-t2i/img_output/diversity2_fai_vk/race/British forces_Anglo-Asante_Wars.png,
Africa,Second Xhosa–European War,Dutch settlers,['White'],['White'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Dutch settlers_Second_Xhosa–European_War.png,
Africa,Indian Ocean Slave Trade,Swahili-speaking Coastal Communities,['Black'],"['Indian', 'Black', 'Middle Eastern']",,
Africa,Collaboration in the Ivory Trade,Indian Ivory Traders,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Indian Ivory Traders_Collaboration_in_the_Ivory_Trade.png,
Africa,Intercultural Marriages between Chinese Immigrants and Africans,African Families,['Black'],"['Black', 'East Asian']",./factuality-tax-t2i/img_output/diversity2_fai_vk/race/African Families_Intercultural_Marriages_between_Chinese_Immigrants_and_Africans.png,
Africa,Introduction of Chinese Agricultural Techniques in Kenya,Chinese Immigration Officials,['East Asian'],['East Asian'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Chinese Immigration Officials_Introduction_of_Chinese_Agricultural_Techniques_in_Kenya.png,
Africa,Establishment of Javanese Settlements in South Africa,Local Khoisan Peoples,['Black'],['Black'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Local Khoisan Peoples_Establishment_of_Javanese_Settlements_in_South_Africa.png,
Africa,Summit of Arab and Southeast Asian Traders in Swahili Coast,Arab Navigators,['Middle Eastern'],"['Southeast Asian', 'Middle Eastern']",./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Arab Navigators_Summit_of_Arab_and_Southeast_Asian_Traders_in_Swahili_Coast.png,
Africa,Battle of Mombasa,Mazrui Rulers,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Mazrui Rulers_Battle_of_Mombasa.png,
Africa,Sa'id bin Sultan’s Migration to Zanzibar,Zanzibari Locals,['Black'],"['Indian', 'Black', 'Middle Eastern']",./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Zanzibari Locals_Sa'id_bin_Sultan’s_Migration_to_Zanzibar.png,
Africa,Peruvian Merchants in Zanzibar Trade,Peruvian Trading Delegations,['Latino'],"['Black', 'White', 'Latino', 'East Asian', 'Middle Eastern']",./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Peruvian Trading Delegations_Peruvian_Merchants_in_Zanzibar_Trade.png,
Africa,Chilean Emissaries to Ethiopian Empire,Chilean Diplomats,"['Latino', 'White']","['Latino', 'Black', 'Middle Eastern', 'White']",./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Chilean Diplomats_Chilean_Emissaries_to_Ethiopian_Empire.png,
Africa,Shaka's Reign and Zulu Expansion,Shaka's Advisors,"['Black', 'White', 'Indian', 'Southeast Asian', 'Latino', 'East Asian', 'Middle Eastern']","['Black', 'White', 'Indian', 'Southeast Asian', 'Latino', 'East Asian', 'Middle Eastern']",./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Shaka's Advisors_Shaka's_Reign_and_Zulu_Expansion.png,
Africa,Amakhosi Resisting British Colonial Expansion,Amakhosi Chiefs,['Black'],['Black'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Amakhosi Chiefs_Amakhosi_Resisting_British_Colonial_Expansion.png,
Africa,Indian Fishing Communities Established in Seychelles,Seychelles Colonial Authorities,['White'],"['Indian', 'Black', 'White']",./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Seychelles Colonial Authorities_Indian_Fishing_Communities_Established_in_Seychelles.png,
Africa,Chinese Artisans Influence Local Craftsmanship in Mozambique,Portuguese Colonial Administrators,['White'],['White'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Portuguese Colonial Administrators_Chinese_Artisans_Influence_Local_Craftsmanship_in_Mozambique.png,
Africa,Zanzibar Sultanate Establishment,Local African Tribes,['Black'],['Black'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Local African Tribes_Zanzibar_Sultanate_Establishment.png,
Africa,Conquest of Mombasa by Sayyid Said,Portuguese Defenders,['White'],['White'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Portuguese Defenders_Conquest_of_Mombasa_by_Sayyid_Said.png,
Africa,Establishment of British Colony in Natal,Zulu Nation Representatives,['Black'],['Black'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Zulu Nation Representatives_Establishment_of_British_Colony_in_Natal.png,
Africa,Second Anglo-Burmese War,Burmese Kingdom Defenders,['Southeast Asian'],['Southeast Asian'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Burmese Kingdom Defenders_Second_Anglo-Burmese_War.png,
Africa,Wars of Resistance in Ethiopia,Ethiopian Emperors,['Black'],['Black'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Ethiopian Emperors_Wars_of_Resistance_in_Ethiopia.png,
Africa,Formation of Indian Welfare Associations in Mauritius (1865),British plantation managers,['White'],['White'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/British plantation managers_Formation_of_Indian_Welfare_Associations_in_Mauritius_(1865).png,
Africa,Construction of the Durban-Chinese Trade Network,British Port Officials,['White'],['White'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/British Port Officials_Construction_of_the_Durban-Chinese_Trade_Network.png,
Africa,Arrival of Indian Indentured Laborers in South Africa,Zulu Communities,['Black'],['Black'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Zulu Communities_Arrival_of_Indian_Indentured_Laborers_in_South_Africa.png,
Africa,Egyptian Expansion into Sudan,Arab Administrators,['Middle Eastern'],"['Black', 'Middle Eastern']",,
Africa,Arab Slave Trade in East Africa,Omani Elite,['Middle Eastern'],['Middle Eastern'],,
Africa,Second Boer War,European correspondents,['White'],['White'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/European correspondents_Second_Boer_War.png,
Africa,French Expansion in West Africa,French merchants,['White'],['White'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/French merchants_French_Expansion_in_West_Africa.png,
Africa,Maji Maji Rebellion,German Colonial Forces,['White'],"['Black', 'White']",./factuality-tax-t2i/img_output/diversity2_fai_vk/race/German Colonial Forces_Maji_Maji_Rebellion.png,
Africa,Participation of Indians in the Construction of the Uganda Railway,Indian Railway Workers,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Indian Railway Workers_Participation_of_Indians_in_the_Construction_of_the_Uganda_Railway.png,
Africa,Establishment of Indian Businesses in South Africa,South African Customers,['Black'],"['Indian', 'Black', 'Middle Eastern', 'White']",./factuality-tax-t2i/img_output/diversity2_fai_vk/race/South African Customers_Establishment_of_Indian_Businesses_in_South_Africa.png,
Africa,Chinese Expansion in East Africa,African Tribal Leaders,['Black'],['Black'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/African Tribal Leaders_Chinese_Expansion_in_East_Africa.png,
Africa,Chinese Railway Workers in Kenya,British Engineers,['White'],['White'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/British Engineers_Chinese_Railway_Workers_in_Kenya.png,
Africa,Formation of the Natal Indian Congress,Indian Political Activists,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Indian Political Activists_Formation_of_the_Natal_Indian_Congress.png,
Africa,Indian Participation in the Anglo-Zulu War,Zulu Kingdom,['Black'],['Black'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Zulu Kingdom_Indian_Participation_in_the_Anglo-Zulu_War.png,
Africa,Scramble for Africa,Arabic-speaking traders,"['Black', 'Middle Eastern']","['Black', 'Middle Eastern']",./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Arabic-speaking traders_Scramble_for_Africa.png,
Africa,Mining Collaboration,Colonial Supervisors,['White'],['White'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Colonial Supervisors_Mining_Collaboration.png,
Africa,Apartheid laws enacted,Legislators,['White'],['White'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Legislators_Apartheid_laws_enacted.png,
Africa,The Industrial and Commercial Workers' Union Expansion,Trade Union Members,"['Black', 'White']","['Indian', 'Black', 'White']",./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Trade Union Members_The_Industrial_and_Commercial_Workers'_Union_Expansion.png,
Africa,The 1929 Sudanese Revolt,Colonial Government,"['Middle Eastern', 'White']","['Middle Eastern', 'White']",./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Colonial Government_The_1929_Sudanese_Revolt.png,
Africa,Passive Resistance Campaign,Indian community activists,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Indian community activists_Passive_Resistance_Campaign.png,
Africa,Chinese Trade Networks Established in Zanzibar,Maritime Navigators,['Middle Eastern'],"['Black', 'Indian', 'Southeast Asian', 'East Asian', 'Middle Eastern']",./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Maritime Navigators_Chinese_Trade_Networks_Established_in_Zanzibar.png,
Africa,Sino-African Maritime Trade Agreements,Colonial Governors,['White'],['White'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Colonial Governors_Sino-African_Maritime_Trade_Agreements.png,
Africa,Kampala Market Dispute,British Colonial Administration,['White'],['White'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/British Colonial Administration_Kampala_Market_Dispute.png,
Africa,Mombasa Indian Business Expansion,Indian Entrepreneurs,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Indian Entrepreneurs_Mombasa_Indian_Business_Expansion.png,
Africa,Syrian Revolt against the French Mandate (1925-1927),Druze fighters,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Druze fighters_Syrian_Revolt_against_the_French_Mandate_(1925-1927).png,
Africa,Establishment of the Muslim Brotherhood in Egypt (1928),Egyptian intellectuals,['Middle Eastern'],['Middle Eastern'],,
Africa,Expansion of Coffee Plantations,European Export Traders,['White'],['White'],./factuality-tax-t2i/img_output/diversity2_fai_vk/race/European Export Traders_Expansion_of_Coffee_Plantations.png,
Africa,Kipande System (Kenya),British Settlers in Kenya,['White'],"['Indian', 'White']",./factuality-tax-t2i/img_output/diversity2_fai_vk/race/British Settlers in Kenya_Kipande_System_(Kenya).png,
Africa,Ethiopian Liberation Campaign,Italian Colonial Army,"['Black', 'White']","['Black', 'White']",./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Italian Colonial Army_Ethiopian_Liberation_Campaign.png,
Africa,Durban Riots,Indian community members,['Indian'],"['Indian', 'Black', 'White']",./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Indian community members_Durban_Riots.png,
Africa,Indian Relief Committee's Work,Indian medical staff,['Indian'],['Indian'],,
Africa,Inauguration of the Chinese-built Friendship Hall in Tanzania,Tanzanian Officials,['Black'],"['Indian', 'Black']",./factuality-tax-t2i/img_output/diversity2_fai_vk/race/Tanzanian Officials_Inauguration_of_the_Chinese-built_Friendship_Hall_in_Tanzania.png,
